skill,job_postings,avg_salary,growth_rate,difficulty,learning_months,demand_score
Python,95000,120000,18,2,6,88
Machine Learning,80000,150000,35,3,10,92
Data Science,85000,140000,30,3,9,90
Cybersecurity,70000,145000,28,3,8,89
Cloud Computing,90000,155000,30,2,7,91
DevOps,65000,140000,25,2,7,87
Artificial Intelligence,78000,160000,40,3,12,94
Deep Learning,60000,155000,38,3,11,93
Blockchain,40000,150000,22,3,9,80
UI Design,50000,90000,15,1,5,72
UX Design,52000,95000,16,1,5,74
Full Stack Development,87000,125000,24,2,8,86
React,75000,115000,20,2,6,83
NodeJS,70000,110000,18,2,6,82
Angular,45000,105000,14,2,7,70
Java,92000,120000,17,2,8,85
C++,60000,115000,12,3,9,72
Go,35000,130000,20,2,7,78
Rust,25000,140000,24,3,10,81
SQL,100000,100000,15,1,4,84
Data Engineering,65000,135000,27,3,9,88
Big Data,58000,130000,23,3,8,84
Hadoop,30000,120000,12,2,7,65
Spark,42000,125000,18,2,7,75
TensorFlow,45000,140000,30,3,9,90
PyTorch,48000,142000,32,3,9,91
Kubernetes,55000,135000,25,2,7,86
Docker,60000,125000,22,2,6,84
Linux,80000,105000,16,2,6,82
Networking,50000,95000,14,2,6,75
Ethical Hacking,47000,110000,20,3,8,83
Penetration Testing,45000,115000,21,3,8,85
Game Development,38000,95000,12,3,10,70
Unity,35000,90000,10,2,8,68
Unreal Engine,30000,95000,11,2,9,69
AR/VR,28000,120000,25,3,10,82
Quantum Computing,15000,170000,45,3,12,95
Edge Computing,20000,140000,28,3,9,88
Robotics,30000,135000,27,3,10,87
Computer Vision,42000,145000,33,3,10,91
Node.js,25193,110000,28,1,10,85
AI Engineering,66270,155000,45,2,8,96
C#,57566,117000,27,2,7,83
Kotlin,34757,112000,28,1,4,84
Swift,41483,115000,30,2,10,83
Flutter,57301,110000,31,2,8,85
Vue.js,57954,114000,30,3,5,87
Django,69058,119000,33,3,10,88
Flask,66668,116000,31,3,6,86
Spring Boot,49749,123000,34,1,6,89
NoSQL,41096,125000,35,1,9,90
MongoDB,52686,124000,34,3,9,89
PostgreSQL,23109,126000,36,1,5,91
MySQL,21064,120000,32,1,9,90
Oracle DB,36631,128000,30,1,10,88
Firebase,67730,115000,29,2,8,87
AWS,59827,150000,41,1,5,95
Azure,63005,148000,40,1,5,94
Google Cloud,21115,147000,39,2,6,93
Terraform,52120,138000,37,3,8,90
Ansible,23866,135000,35,1,7,88
Tableau,21306,118000,30,1,4,87
Power BI,58765,120000,31,3,3,88
Excel Advanced,62370,105000,28,2,9,85
Business Analysis,43358,125000,33,3,7,89
Product Management,27093,135000,35,1,10,91
UI/UX Design,29483,120000,32,1,9,90
Graphic Design,53245,100000,27,1,7,85
Figma,34521,115000,30,1,5,88
Adobe XD,55078,112000,29,2,9,86
Photoshop,35878,110000,28,1,7,87
Illustrator,23308,108000,27,3,8,86
Digital Marketing,58745,125000,34,2,8,90
SEO,22644,115000,32,2,3,88
Content Writing,51276,95000,26,3,4,85
Copywriting,60276,105000,29,3,8,87
Social Media Marketing,26708,110000,31,1,5,89
Email Marketing,56668,102000,28,1,5,86
Affiliate Marketing,37697,100000,27,1,4,84
Salesforce,69149,140000,36,3,7,91
SAP,64138,145000,37,1,10,92
ERP Systems,61901,138000,35,3,4,90
CRM Tools,63017,130000,34,1,6,89
HR Analytics,22965,120000,31,3,9,87
Financial Analysis,57701,125000,32,3,9,88
Accounting,58547,110000,28,2,4,85
Investment Banking,57598,150000,38,3,10,91
Risk Management,69913,135000,34,2,6,89
Supply Chain,37448,130000,33,3,7,88
Logistics,63934,120000,30,3,9,86
Project Management,65034,135000,36,3,9,92
Agile Methodology,32103,132000,35,1,3,91
Scrum Master,38816,130000,34,2,9,90
Quality Assurance,55743,120000,32,3,9,88
Testing Automation,21422,125000,33,3,5,89
Selenium,21197,118000,31,1,5,87
IoT,38271,138000,37,2,7,90
Embedded Systems,44094,132000,34,2,8,87
Electronics Design,56333,128000,32,2,3,85
Mechanical Design,49444,125000,30,3,8,84
Civil Engineering,57634,120000,28,2,7,83
AutoCAD,52748,115000,29,1,8,86
SolidWorks,49082,118000,30,2,4,85
MATLAB,24833,125000,32,3,9,87
Statistics,49491,135000,36,3,6,90
Operations Research,67862,130000,34,3,5,88
